customer_id,customer_name,customer_email,customer_age,annual_income,credit_score,country,city
ab5b931a-967a-46df-8759-f79575c5f767,Heather Lucero,thompsonerin@example.org,41,186075.15,624,CD,Hannahmouth
977334f8-5210-4c72-ab3d-e6099a2f4515,Douglas Martinez,uthompson@example.com,69,212478.88,369,UG,Port Nathan
deb05c6f-15d4-43dc-8d94-db9f74b78cd1,Carol Young,john93@example.net,19,216015.13,572,IQ,North Alexander
1b0c8afc-773f-47be-a8c9-a06c7bb55e9d,Nichole Ward,dawsondylan@example.com,38,24254.26,422,ZA,Aaronberg
bc7ee260-69f5-4715-a629-1ccc2adbcdf1,Thomas Leonard,jameshale@example.com,63,325091.71,581,CH,West Leslieland
d9f63457-0dd8-4801-a416-03f82bcf914f,Matthew Brown,carl30@example.net,50,285674.04,480,NG,East Christophermouth
c9504590-ddf2-492b-b29b-82b11ce93270,Keith Richardson,qjones@example.net,68,320047.58,302,QA,Craigton
e3698b60-93ba-4975-9c3c-511cf5e81f2c,Robert Adams,amandawhite@example.com,70,55242.59,555,PS,Rodriguezhaven
6dfdedf7-2306-47ae-bf12-83717a10540b,Scott Montes,gregorymoore@example.com,69,342086.19,609,GW,Ericafurt
4b905c27-0e32-437a-a9bf-e3101d94cdba,Brandon Kim,zpotter@example.net,45,472291.16,694,BJ,Parkerfurt
92d866df-9e85-48a9-ab86-1a60f011696a,Henry Barnes,robert38@example.org,73,423397.84,646,DZ,Port Patriciaberg
cb9f5d4e-c7dd-4ef1-a29b-669833c08c8c,Michael Peters,becky43@example.org,73,183974.84,448,GM,Aguilarside
754f9519-75ae-4eaa-81cf-cd98b58580ee,Candace Marks,adam34@example.com,70,415985.02,684,KP,Gordonchester
1cb38768-960e-4152-8838-1b4f77c428ca,Jennifer Smith,rebecca84@example.net,56,116836.86,436,FR,Martinezport
19346bd1-786f-4a39-88cf-77b8d633add1,Julie Anderson,fjarvis@example.org,46,76819.75,479,BZ,North Courtney
b5db342e-223b-4424-bce1-e554cbc35025,Austin Murphy,benjamin28@example.com,44,463571.58,618,YE,Davidtown
0542628e-999b-4730-9a86-d8b664b561a6,Lisa Young,ashley74@example.org,74,128842.56,648,UZ,Williamsborough
b49cfe1e-274b-424a-b216-f33c0560758c,Daniel Scott,hannahparker@example.net,42,201142.55,501,NO,New Dominiqueshire
86131572-62cb-45cb-a17d-46e1fa995013,Jennifer Douglas,rogersjenna@example.net,56,308482.43,633,SC,East Kimberly
6941723b-72cd-4084-bc3a-b063fc20f347,Alexander Burns,rpetersen@example.org,18,135207.6,639,FR,Pattersonberg
adcd450e-e453-45b3-8c2e-46acddd49152,Philip Brock,estradamorgan@example.org,73,364119.49,819,OM,Lake Scottside
48c1adf3-fc46-4c66-8770-8b20d0d06c4a,Sheryl May,rmaynard@example.net,57,359154.34,447,TW,Lake Karenborough
1d4fe686-946f-4240-b8fd-a53caa2a896d,Tammy Brown,ymartin@example.com,29,308177.29,604,BO,Lake Andreachester
13dda934-52d1-440b-b252-00bbf7f39a1f,Angel Chambers,woodskaren@example.com,35,280120.48,524,EC,Marybury
2a016a55-d61d-49fb-87be-e92893563239,Deborah Brown,nataliesmith@example.com,38,273884.09,822,SG,Griffithshire
ba111c30-ed6a-4009-8d58-470df26f9c77,Denise Browning,thomascarroll@example.net,40,253682.99,442,SE,East Chelseystad
c6fb1157-19a8-4c2d-a629-3253e3a5956e,Scott Jones,alexayork@example.net,71,299879.61,648,PA,West Carolynborough
022aef47-14c9-473d-8f0d-3a69549f544b,Ryan Wilkerson,michael28@example.net,74,327861.58,460,US,East Trevorville
e33a4e5d-3d27-470a-8e18-1bf82ad9388b,Mr. Shane Sharp MD,justinsmith@example.net,68,316367.86,821,JO,Duranchester
2fed7792-70b2-4da1-aa6e-18f479928d48,Mary Hernandez,melissapowell@example.org,44,405885.75,658,MU,Mariahmouth
